göçtür göç+NOUN+A3SG+PNON+NOM^DB+ADV+SINCE
göçünsek göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+COND+A1PL
göçündür göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+PRES+COP+A3SG
göçleydi göç+NOUN+A3SG+PNON+INS^DB+VERB+ZERO+PAST+A3SG
göçleyse göç+NOUN+A3SG+PNON+INS^DB+VERB+ZERO+COND+A3SG
göçledir göç+NOUN+A3SG+PNON+INS^DB+VERB+ZERO+PRES+COP+A3SG
göçümdü göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A3SG
göçümdüm göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A1SG
göçümdün göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A2SG
göçümdük göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PAST+A1PL
göçümse göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A3SG
göçümsem göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A1SG
göçümsen göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A2SG
göçümsek göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+COND+A1PL
göçümdür göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
göçündü göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A3SG
göçündüm göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A1SG
göçündün göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A2SG
göçündük göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PAST+A1PL
göçünse göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A3SG
göçünsem göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A1SG
göçünsen göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A2SG
göçünsek göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+COND+A1PL
göçündür göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
göçüydü göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PAST+A3SG
göçüydüm göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PAST+A1SG
göçüydün göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PAST+A2SG
göçüydük göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PAST+A1PL
göçüyse göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+COND+A3SG
göçüysem göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+COND+A1SG
göçüysen göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+COND+A2SG
göçüysek göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+COND+A1PL
göçüdür göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
göçlerdi göç+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
göçlerse göç+NOUN+A3PL+PNON+NOM^DB+VERB+ZERO+COND+A3SG
göçmerce göç+VERB+NEG+AOR^DB+ADJ+ZERO^DB+ADV+LY
göçmemek göç+VERB+NEG^DB+NOUN+INF+A3SG+PNON+NOM
göçmerim göç+VERB+NEG+AOR+A1SG
göçmeriz göç+VERB+NEG+AOR+A1PL
göçmesel göç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM^DB+ADJ+RELATED
göçmeli göç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM^DB+ADJ+WITH
göçmesiz göç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM^DB+ADJ+WITHOUT
göçüşsel göç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+RELATED
göçüşlü göç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+WITH
göçüşsüz göç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+WITHOUT
göçesice göç+VERB+POS^DB+ADJ+FEELLIKE^DB+ADV+LY
göçerce göç+VERB+POS+AOR^DB+ADJ+ZERO^DB+ADV+LY
göçürce göç+VERB+POS+AOR^DB+ADJ+ZERO^DB+ADV+LY
göçmüşçe göç+VERB+POS+NARR^DB+ADJ+ZERO^DB+ADV+LY
göçücüce göç+VERB+POS^DB+ADJ+AGT^DB+ADV+LY
göçence göç+VERB+POS^DB+ADJ+PRESPART^DB+ADV+LY
göçendi göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+PAST+A3SG
göçendim göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+PAST+A1SG
göçendin göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+PAST+A2SG
göçendik göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+PAST+A1PL
göçense göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+COND+A3SG
göçensem göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+COND+A1SG
göçensen göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+COND+A2SG
göçensek göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+COND+A1PL
göçendir göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+PRES+COP+A3SG
göçmek göç+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
göçmeğim göç+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1SG
göçmeğiz göç+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+A1PL
göçmekte göç+VERB+POS^DB+NOUN+INF+A3SG+PNON+LOC
göçmekle göç+VERB+POS^DB+NOUN+INF+A3SG+PNON+INS
göçmeğe göç+VERB+POS^DB+NOUN+INF+A3SG+PNON+DAT
göçmüşüm göç+VERB+POS+NARR+A1SG
göçmüşüz göç+VERB+POS+NARR+A1PL
göçürdür göç+VERB+POS+AOR+COP+A3SG
göçürken göç+VERB+POS+AOR^DB+ADV+WHILE
göçürüm göç+VERB+POS+AOR+A1SG
göçürsün göç+VERB+POS+AOR+A2SG
göçürüz göç+VERB+POS+AOR+A1PL
göçürler göç+VERB+POS+AOR+A3PL
göçerdir göç+VERB+POS+AOR+COP+A3SG
göçerken göç+VERB+POS+AOR^DB+ADV+WHILE
göçerim göç+VERB+POS+AOR+A1SG
göçersin göç+VERB+POS+AOR+A2SG
göçeriz göç+VERB+POS+AOR+A1PL
göçerler göç+VERB+POS+AOR+A3PL
göçeydi göç+VERB+POS+OPT+PAST+A3SG
göçeydim göç+VERB+POS+OPT+PAST+A1SG
göçeydin göç+VERB+POS+OPT+PAST+A2SG
göçeydik göç+VERB+POS+OPT+PAST+A1PL
göçeyse göç+VERB+POS+OPT+COND+A3SG
göçeysem göç+VERB+POS+OPT+COND+A1SG
göçeysen göç+VERB+POS+OPT+COND+A2SG
göçeysek göç+VERB+POS+OPT+COND+A1PL
göçeymiş göç+VERB+POS+OPT+NARR+A3SG
göçtüydü göç+VERB+POS+PAST+PAST+A3SG
göçtüyse göç+VERB+POS+PAST+COND+A3SG
göçseydi göç+VERB+POS+DESR+PAST+A3SG
göçseyse göç+VERB+POS+DESR+COND+A3SG
göçseydi göç+VERB+POS+COND+PAST+A3SG
göçseyse göç+VERB+POS+COND+COND+A3SG
göçücüyü göç+VERB+POS^DB+NOUN+AGT+A3SG+PNON+ACC
göçücüce göç+VERB+POS^DB+NOUN+AGT+A3SG+PNON+EQU
göçücümü göç+VERB+POS^DB+NOUN+AGT+A3SG+P1SG+ACC
göçücünü göç+VERB+POS^DB+NOUN+AGT+A3SG+P2SG+ACC
göçücüki göç+VERB+POS^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+REL
göçücükü göç+VERB+POS^DB+NOUN+AGT+A3SG+PNON+NOM^DB+ADJ+REL
göçürtüp göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS^DB+ADV+AFTERDOINGSO
göçürter göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS+AOR^DB+ADJ+ZERO
göçürtür göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS+AOR^DB+ADJ+ZERO
göçürten göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS^DB+ADJ+PRESPART
göçürmer göç+VERB^DB+VERB+CAUS+NEG+AOR+A3SG
göçürme göç+VERB^DB+VERB+CAUS+NEG+IMP+A2SG
göçüreme göç+VERB^DB+VERB+CAUS^DB+VERB+ABLE+NEG+IMP+A2SG
göçürdük göç+VERB^DB+VERB+CAUS+POS^DB+ADJ+PASTPART+PNON
göçürmüş göç+VERB^DB+VERB+CAUS+POS+NARR+A3SG
göçürür göç+VERB^DB+VERB+CAUS+POS+AOR+A3SG
göçürer göç+VERB^DB+VERB+CAUS+POS+AOR+A3SG
göçüre göç+VERB^DB+VERB+CAUS+POS+OPT+A3SG
göçür göç+VERB^DB+VERB+CAUS+POS+IMP+A2SG
göçürsün göç+VERB^DB+VERB+CAUS+POS+IMP+A3SG
göçürün göç+VERB^DB+VERB+CAUS+POS+IMP+A2PL
göçürdü göç+VERB^DB+VERB+CAUS+POS+PAST+A3SG
göçürdüm göç+VERB^DB+VERB+CAUS+POS+PAST+A1SG
göçürdün göç+VERB^DB+VERB+CAUS+POS+PAST+A2SG
göçürdük göç+VERB^DB+VERB+CAUS+POS+PAST+A1PL
göçürse göç+VERB^DB+VERB+CAUS+POS+DESR+A3SG
göçürsem göç+VERB^DB+VERB+CAUS+POS+DESR+A1SG
göçürsen göç+VERB^DB+VERB+CAUS+POS+DESR+A2SG
göçürsek göç+VERB^DB+VERB+CAUS+POS+DESR+A1PL
göçürse göç+VERB^DB+VERB+CAUS+POS+COND+A3SG
göçürsem göç+VERB^DB+VERB+CAUS+POS+COND+A1SG
göçürsen göç+VERB^DB+VERB+CAUS+POS+COND+A2SG
göçürsek göç+VERB^DB+VERB+CAUS+POS+COND+A1PL
göçülmer göç+VERB^DB+VERB+PASS+NEG+AOR+A3SG
göçülme göç+VERB^DB+VERB+PASS+NEG+IMP+A2SG
göçüleme göç+VERB^DB+VERB+PASS^DB+VERB+ABLE+NEG+IMP+A2SG
göçüldük göç+VERB^DB+VERB+PASS+POS^DB+ADJ+PASTPART+PNON
göçülmüş göç+VERB^DB+VERB+PASS+POS+NARR+A3SG
göçülür göç+VERB^DB+VERB+PASS+POS+AOR+A3SG
göçüle göç+VERB^DB+VERB+PASS+POS+OPT+A3SG
göçül göç+VERB^DB+VERB+PASS+POS+IMP+A2SG
göçülsün göç+VERB^DB+VERB+PASS+POS+IMP+A3SG
göçülün göç+VERB^DB+VERB+PASS+POS+IMP+A2PL
göçüldü göç+VERB^DB+VERB+PASS+POS+PAST+A3SG
göçüldüm göç+VERB^DB+VERB+PASS+POS+PAST+A1SG
göçüldün göç+VERB^DB+VERB+PASS+POS+PAST+A2SG
göçüldük göç+VERB^DB+VERB+PASS+POS+PAST+A1PL
göçülse göç+VERB^DB+VERB+PASS+POS+DESR+A3SG
göçülsem göç+VERB^DB+VERB+PASS+POS+DESR+A1SG
göçülsen göç+VERB^DB+VERB+PASS+POS+DESR+A2SG
göçülsek göç+VERB^DB+VERB+PASS+POS+DESR+A1PL
göçülse göç+VERB^DB+VERB+PASS+POS+COND+A3SG
göçülsem göç+VERB^DB+VERB+PASS+POS+COND+A1SG
göçülsen göç+VERB^DB+VERB+PASS+POS+COND+A2SG
göçülsek göç+VERB^DB+VERB+PASS+POS+COND+A1PL
göçülüne göç+VERB^DB+VERB+PASS^DB+VERB+PASS+POS+OPT+A3SG
göçülün göç+VERB^DB+VERB+PASS^DB+VERB+PASS+POS+IMP+A2SG
göççüktü göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
göççükse göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A3SG
göçleşme göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+NEG+IMP+A2SG
göçleşir göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS+AOR+A3SG
göçleşer göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS+AOR+A3SG
göçleşe göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS+OPT+A3SG
göçleş göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS+IMP+A2SG
göçleşin göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS+IMP+A2PL
göçleşti göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS+PAST+A3SG
göçleşse göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS+DESR+A3SG
göçleşse göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS+COND+A3SG
göçlenme göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+NEG+IMP+A2SG
göçlenir göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+AOR+A3SG
göçlener göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+AOR+A3SG
göçlene göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+OPT+A3SG
göçlen göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+IMP+A2SG
göçlenin göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+IMP+A2PL
göçlendi göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+PAST+A3SG
göçlense göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+DESR+A3SG
göçlense göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS+COND+A3SG
göçseli göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+NOUN+ZERO+A3SG+PNON+ACC
göçselce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+NOUN+ZERO+A3SG+PNON+EQU
göçlüyü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+PNON+ACC
göçlüce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+PNON+EQU
göçlümü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+ACC
göçlümce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+EQU
göçlünü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+ACC
göçlünce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+EQU
göçsüzü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+ZERO+A3SG+PNON+ACC
göçsüzce göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+ZERO+A3SG+PNON+EQU
göçtüdür göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG+COP
göçsedir göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A3SG+COP
göçmüş göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+NARR+A3SG
göçmüşüm göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+NARR+A1SG
göçmüşüz göç+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+NARR+A1PL
göçeymiş göç+NOUN+A3SG+PNON+DAT^DB+VERB+ZERO+NARR+A3SG
göçünmüş göç+NOUN+A3SG+PNON+GEN^DB+VERB+ZERO+NARR+A3SG
göçteki göç+NOUN+A3SG+PNON+LOC^DB+ADJ+REL
göçünki göç+NOUN+A3SG+PNON+GEN^DB+ADJ+REL
göçümmüş göç+NOUN+A3SG+P1SG+NOM^DB+VERB+ZERO+NARR+A3SG
göçünmüş göç+NOUN+A3SG+P2SG+NOM^DB+VERB+ZERO+NARR+A3SG
göçüymüş göç+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+NARR+A3SG
göçmedik göç+VERB+NEG^DB+NOUN+PASTPART+A3SG+PNON+NOM
göçmerdi göç+VERB+NEG+AOR+PAST+A3SG
göçmerse göç+VERB+NEG+AOR+COND+A3SG
göçesimi göç+VERB+POS^DB+NOUN+FEELLIKE+A3SG+P1SG+ACC
göçesini göç+VERB+POS^DB+NOUN+FEELLIKE+A3SG+P2SG+ACC
göçtük göç+VERB+POS^DB+NOUN+PASTPART+A3SG+PNON+NOM
göçmeyi göç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
göçmece göç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+EQU
göçmemi göç+VERB+POS^DB+NOUN+INF2+A3SG+P1SG+ACC
göçmemce göç+VERB+POS^DB+NOUN+INF2+A3SG+P1SG+EQU
göçmeni göç+VERB+POS^DB+NOUN+INF2+A3SG+P2SG+ACC
göçmence göç+VERB+POS^DB+NOUN+INF2+A3SG+P2SG+EQU
göçmeki göç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM^DB+ADJ+REL
göçmekü göç+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM^DB+ADJ+REL
göçüşü göç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+ACC
göçüşçe göç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+EQU
göçüşümü göç+VERB+POS^DB+NOUN+INF3+A3SG+P1SG+ACC
göçüşünü göç+VERB+POS^DB+NOUN+INF3+A3SG+P2SG+ACC
göçüşünü göç+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+ACC
göçüşki göç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+REL
göçüşkü göç+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+REL
göçenmiş göç+VERB+POS^DB+ADJ+PRESPART^DB+VERB+ZERO+NARR+A3SG
göçmekti göç+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
göçmekse göç+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM^DB+VERB+ZERO+COND+A3SG
göçmüştü göç+VERB+POS+NARR+PAST+A3SG
göçmüşse göç+VERB+POS+NARR+COND+A3SG
göçürdü göç+VERB+POS+AOR+PAST+A3SG
göçürdüm göç+VERB+POS+AOR+PAST+A1SG
göçürdün göç+VERB+POS+AOR+PAST+A2SG
göçürdük göç+VERB+POS+AOR+PAST+A1PL
göçürse göç+VERB+POS+AOR+COND+A3SG
göçürsem göç+VERB+POS+AOR+COND+A1SG
göçürsen göç+VERB+POS+AOR+COND+A2SG
göçürsek göç+VERB+POS+AOR+COND+A1PL
göçürmüş göç+VERB+POS+AOR+NARR+A3SG
göçerdi göç+VERB+POS+AOR+PAST+A3SG
göçerdim göç+VERB+POS+AOR+PAST+A1SG
göçerdin göç+VERB+POS+AOR+PAST+A2SG
göçerdik göç+VERB+POS+AOR+PAST+A1PL
göçerse göç+VERB+POS+AOR+COND+A3SG
göçersem göç+VERB+POS+AOR+COND+A1SG
göçersen göç+VERB+POS+AOR+COND+A2SG
göçersek göç+VERB+POS+AOR+COND+A1PL
göçermiş göç+VERB+POS+AOR+NARR+A3SG
göçücü göç+VERB+POS^DB+NOUN+AGT+A3SG+PNON+NOM
göçücüye göç+VERB+POS^DB+NOUN+AGT+A3SG+PNON+DAT
göçücüde göç+VERB+POS^DB+NOUN+AGT+A3SG+PNON+LOC
göçücüm göç+VERB+POS^DB+NOUN+AGT+A3SG+P1SG+NOM
göçücüme göç+VERB+POS^DB+NOUN+AGT+A3SG+P1SG+DAT
göçücün göç+VERB+POS^DB+NOUN+AGT+A3SG+P2SG+NOM
göçücüne göç+VERB+POS^DB+NOUN+AGT+A3SG+P2SG+DAT
göçücüsü göç+VERB+POS^DB+NOUN+AGT+A3SG+P3SG+NOM
göçmece göç+VERB+POS^DB+NOUN+ACTOF+A3SG+PNON+NOM
göçmecem göç+VERB+POS^DB+NOUN+ACTOF+A3SG+P1SG+NOM
göçmecen göç+VERB+POS^DB+NOUN+ACTOF+A3SG+P2SG+NOM
göçürtme göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+NEG+IMP+A2SG
göçürtür göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS+AOR+A3SG
göçürter göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS+AOR+A3SG
göçürte göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS+OPT+A3SG
göçürt göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS+IMP+A2SG
göçürtün göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS+IMP+A2PL
göçürttü göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS+PAST+A3SG
göçürtse göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS+DESR+A3SG
göçürtse göç+VERB^DB+VERB+CAUS^DB+VERB+CAUS+POS+COND+A3SG
göçürmek göç+VERB^DB+VERB+CAUS+POS^DB+NOUN+INF+A3SG+PNON+NOM
göçürüle göç+VERB^DB+VERB+CAUS^DB+VERB+PASS+POS+OPT+A3SG
göçürül göç+VERB^DB+VERB+CAUS^DB+VERB+PASS+POS+IMP+A2SG
göçülmek göç+VERB^DB+VERB+PASS+POS^DB+NOUN+INF+A3SG+PNON+NOM
göççükki göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
göççükkü göç+NOUN+A3SG+PNON+NOM^DB+NOUN+DIM+A3SG+PNON+NOM^DB+ADJ+REL^DB+NOUN+ZERO+A3SG+PNON+NOM
göçleşiş göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+RECIP+POS+IMP+A2SG
göçleşil göç+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME^DB+VERB+PASS+POS+IMP+A2SG
göçleniş göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+RECIP+POS+IMP+A2SG
göçlenil göç+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE^DB+VERB+PASS+POS+IMP+A2SG
göçsele göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+NOUN+ZERO+A3SG+PNON+DAT
göçselde göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+NOUN+ZERO+A3SG+PNON+LOC
göçselin göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+NOUN+ZERO+A3SG+PNON+GEN
göçselle göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+NOUN+ZERO+A3SG+PNON+INS
göçselim göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+NOUN+ZERO+A3SG+P1SG+NOM
göçselin göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+NOUN+ZERO+A3SG+P2SG+NOM
göçseli göç+NOUN+A3SG+PNON+NOM^DB+ADJ+RELATED^DB+NOUN+ZERO+A3SG+P3SG+NOM
göçlücüm göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+AGT+A3SG+P1SG+NOM
göçlücün göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+AGT+A3SG+P2SG+NOM
göçlüye göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+PNON+DAT
göçlüde göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+PNON+LOC
göçlüden göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+PNON+ABL
göçlünün göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+PNON+GEN
göçlüyle göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+PNON+INS
göçlüm göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+NOM
göçlümüm göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+NOM^DB+VERB+ZERO+PRES+A1SG
göçlüme göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+DAT
göçlümde göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+LOC
göçlümün göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+GEN
göçlümle göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1SG+INS
göçlün göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+NOM
göçlünüm göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+NOM^DB+VERB+ZERO+PRES+A1SG
göçlüne göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+DAT
göçlünde göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+LOC
göçlünün göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+GEN
göçlünle göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2SG+INS
göçlümüz göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P1PL+NOM
göçlünüz göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P2PL+NOM
göçlüsü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3SG+P3SG+NOM
göçlüler göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3PL+PNON+NOM
göçlülük göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+NESS+A3SG+PNON+NOM
göçsüze göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+ZERO+A3SG+PNON+DAT
göçsüzde göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+ZERO+A3SG+PNON+LOC
göçsüzün göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+ZERO+A3SG+PNON+GEN
göçsüzle göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+ZERO+A3SG+PNON+INS
göçsüzüm göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+ZERO+A3SG+P1SG+NOM
göçsüzün göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+ZERO+A3SG+P2SG+NOM
göçsüzü göç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+ZERO+A3SG+P3SG+NOM
göçmezci göç+VERB+NEG+AOR^DB+ADJ+ZERO^DB+NOUN+AGT+A3SG+PNON+NOM
